muni_id,muni_name,popest_2010,popest_2019,emp_vltl,unemp_avg_rate,unemp_rate_change,jobs_tot,jobs_nocolg,jobs_lowinc_pc,jobs_nonwhite_pc,inc_pc,inc_pc_me,hu_tot,hu_tot_me,hu_oo,hu_oo_me,hu_ro,hu_ro_me,hu_crowding,covid_tot_cases,covid_pc_pv,covid_rel_change
"2505280000000",Berkley,6417,6851,67.4464520680907,16.34,-8.2,3719,701,44.8238773863942,5.75423500941113,39874,3902,6647,40,6311,246,336,241,,97,0.0302,Higher
"2505490000000",Berlin,2872,3240,64.7949036438208,11.54,-4,1621,289,41.6409623689081,9.06847624922887,48666,5933,3139,18,2831,113,308,109,,27,0.0182,No Change
"2505560000000",Bernardston,2127,2090,73.7267987114329,14.26,-7,1235,308,53.6032388663968,4.8582995951417,34712,3066,2051,163,1579,168,472,150,,9,0.0063,Higher
"2505595000000",Beverly,39729,42174,70.0529770220205,13.7,-4.7,20775,3335,43.0036101083032,10.7725631768953,45358,2166,38445,355,26774,939,11671,900,1.55,716,0.0028,Higher
"2505805000000",Billerica,40416,43367,68.241364999189,15.34,-6.7,22859,3685,41.5241261647491,15.473117809178,40454,1683,41682,225,35170,942,6512,890,2.32,710,0.016,Higher
"2506015000000",Blackstone,9016,9288,63.3231398945096,15.68,-8.3,5535,1008,44.4986449864499,8.02168021680217,37798,2451,9194,51,7738,295,1456,283,,81,0.0115,Higher
"2506085000000",Blandford,1227,1252,67.294529973004,13.86,-6.3,599,134,50.0834724540901,4.34056761268781,36958,3966,1177,179,1127,179,50,37,,3,0,No Change
"2506365000000",Bolton,4930,5426,53.1091526457605,9.2,-2.2,2727,410,31.4264759809314,9.93766043270994,56557,5038,5205,34,4988,169,217,163,,17,0.0043,Higher
"2507000000000",Boston,621048,692600,97.8500629776852,16.3,-1.8,332578,47977,46.3220658011053,48.7587874122762,42010,625,631479,1631,233819,3820,397660,4009,3.31,18857,0.0074,Higher
"2507175000000",Bourne,19764,19762,68.3598619880466,17.34,-9.7,7868,1581,51.4107778342654,7.90543975597356,40686,2933,19403,142,14618,657,4785,660,1.39,204,0.0124,Lower
"2507350000000",Boxborough,5027,5793,57.2145824711751,9.22,-1.6,2839,432,33.4272631208172,25.9950686861571,55571,5314,5794,41,4381,287,1413,285,,31,0.0077,No Change
"2507420000000",Boxford,7976,8332,53.9264689848036,10.64,-2.4,3462,638,37.8682842287695,8.72328134026574,72832,8739,8270,21,8189,62,81,56,,62,0.0104,Higher
"2507525000000",Boylston,4357,4712,46.7959572327463,11.7,-5.6,2536,437,39.9053627760252,11.2776025236593,46857,3321,4562,27,4059,183,503,183,,27,0.0028,Higher
"2507740000000",Braintree,35804,37190,76.6331524151006,17.38,-7.2,21258,3491,43.3954276037257,21.6200959638724,44077,1861,36657,111,29396,810,7261,803,1.42,954,0.0139,Higher
"2507980000000",Brewster,9859,9775,47.1441443904047,14.48,-10.1,4523,950,51.7576829537917,7.38447932787973,45151,4180,9531,148,8643,311,888,281,,125,0.0088,Higher
"2508085000000",Bridgewater,26708,27619,74.27875657056,15.54,-6.4,13562,2450,44.7942781300693,11.9008995723345,33138,2083,22682,529,16675,977,6007,959,0.65,433,0.0066,Lower
"2508470000000",Brimfield,3619,3680,68.8801148807703,13.04,-5.2,1824,395,48.0263157894737,5.92105263157895,38489,4395,3739,24,3340,185,399,186,,18,0.0048,No Change
"2509000000000",Brockton,93809,95708,145.011913103749,22.32,-3.9,51568,9674,61.6758454855724,55.7981694073844,26063,847,93768,403,55140,1929,38628,2024,3.76,4975,0.0251,Higher
"2509105000000",Brookfield,3383,3452,73.016142497454,13.72,-5,1902,379,50.3680336487907,5.99369085173502,39360,4580,3423,18,2975,169,448,171,,27,0.0057,Higher
